Date,Store_ID,Product_ID,Category,Region,Holiday,Promotion,Weather,Temperature,Fuel_Price,CPI,Unemployment,Inventory,Price,Competitor_Price,Discount,Customers,Sales
2023-03-29,37,1165,Sports,East,1,0,Rainy,12.0,97.69,216.34,5.47,77,736.29,673.59,29,251,34
2023-03-30,3,1015,Clothing,East,0,0,Cloudy,27.8,95.38,249.64,11.59,776,1796.96,1778.89,36,353,47
2023-03-31,33,1039,Electronics,West,0,1,Cloudy,12.5,105.85,184.7,9.37,469,1071.93,1095.47,23,210,89
2023-04-01,19,1100,Furniture,East,0,1,Sunny,19.9,102.32,226.39,5.27,892,1330.3,1438.41,9,190,86
2023-04-02,23,1080,Sports,West,0,0,Rainy,26.8,105.74,219.42,4.15,739,1666.47,1746.05,43,487,67
2023-04-03,34,1024,Sports,West,1,0,Rainy,19.3,118.05,221.01,9.9,216,491.76,456.11,4,171,35
2023-04-04,50,1139,Beauty,North,1,0,Cloudy,21.3,86.49,279.76,9.94,848,1810.18,1890.26,2,230,41
2023-04-05,24,1174,Sports,South,1,1,Cloudy,33.5,89.36,208.7,11.69,823,964.58,1029.23,23,367,185
2023-04-06,30,1197,Clothing,West,1,0,Sunny,34.0,85.54,210.0,8.77,915,773.86,841.08,45,453,67
2023-04-07,34,1032,Clothing,North,0,1,Rainy,37.2,85.89,232.5,11.52,247,1642.57,1768.93,1,232,103
2023-04-08,16,1099,Electronics,East,0,0,Rainy,37.9,113.57,258.0,10.12,160,124.69,135.1,30,376,51
2023-04-09,9,1195,Sports,West,1,0,Sunny,10.6,88.63,197.94,11.46,643,1079.15,995.23,18,141,21
2023-04-10,27,1164,Beauty,West,0,0,Rainy,27.9,80.66,241.85,5.18,167,617.98,556.38,22,143,17
2023-04-11,37,1107,Grocery,North,1,0,Cloudy,26.3,111.46,240.91,3.18,914,966.76,992.99,23,149,22
2023-04-12,5,1089,Grocery,North,1,0,Sunny,20.6,93.54,257.14,10.47,721,956.01,993.37,40,113,1
2023-04-13,9,1017,Sports,West,0,1,Sunny,11.3,87.98,185.03,11.4,547,826.54,878.68,30,149,64
2023-04-14,19,1092,Beauty,North,1,1,Sunny,34.0,97.48,228.0,6.96,999,803.96,880.13,31,374,162
2023-04-15,32,1095,Beauty,East,0,1,Sunny,22.9,119.8,201.65,5.64,125,206.13,212.76,19,248,85
2023-04-16,45,1114,Clothing,West,0,1,Cloudy,39.9,90.98,297.6,11.53,96,1358.81,1333.32,32,430,156
2023-04-17,48,1174,Grocery,North,0,1,Sunny,13.8,89.44,257.42,6.26,992,1156.13,1180.43,43,250,96
2023-04-18,49,1020,Toys,South,1,1,Rainy,29.5,89.98,193.61,9.62,531,1059.6,1147.24,7,154,64
2023-04-19,50,1067,Sports,West,0,1,Cloudy,37.5,99.65,194.72,10.68,482,386.68,403.18,5,434,164
2023-04-20,21,1171,Clothing,North,1,1,Sunny,31.4,117.09,256.52,10.14,540,487.27,534.55,50,91,8
2023-04-21,16,1127,Electronics,East,1,1,Cloudy,13.9,115.37,187.89,6.58,754,1451.8,1459.26,49,229,90
2023-04-22,21,1165,Electronics,West,1,1,Sunny,36.3,111.21,256.78,4.64,152,893.61,967.01,3,445,195
2023-04-23,8,1133,Grocery,East,0,0,Rainy,38.0,89.02,293.7,7.67,310,1699.57,1614.8,40,302,31
2023-04-24,40,1137,Electronics,South,0,0,Cloudy,28.7,116.08,220.51,11.32,62,1659.21,1502.7,2,348,65
2023-04-25,50,1148,Clothing,South,1,0,Rainy,36.7,101.82,257.03,5.72,270,1619.14,1679.05,19,252,47
2023-04-26,29,1107,Furniture,West,0,1,Cloudy,14.3,114.46,218.32,11.89,373,1951.98,1807.83,23,283,107
2023-04-27,36,1028,Clothing,South,1,0,Rainy,23.5,85.64,186.07,11.51,904,1249.99,1187.06,10,436,78
2023-04-28,21,1049,Beauty,South,1,1,Rainy,36.4,99.89,190.81,6.54,488,1935.04,1824.8,22,44,24
2023-04-29,4,1073,Furniture,West,1,0,Sunny,22.9,115.3,267.3,9.87,394,138.22,125.81,35,119,7
2023-04-30,25,1130,Furniture,East,0,0,Sunny,21.8,111.8,220.69,11.45,793,331.32,338.11,25,276,40
2023-05-01,3,1012,Electronics,South,1,1,Cloudy,23.7,104.25,241.86,5.95,647,671.13,656.76,39,398,174
2023-05-02,33,1131,Toys,West,1,1,Sunny,21.1,106.95,297.59,8.25,835,1802.6,1936.75,40,33,0
2023-05-03,39,1122,Clothing,South,0,1,Sunny,25.7,108.85,272.95,6.42,861,1377.42,1248.38,44,76,21
2023-05-04,27,1039,Furniture,South,1,1,Cloudy,31.8,108.23,242.24,8.05,698,982.82,958.61,11,255,121
2023-05-05,35,1088,Toys,East,1,1,Sunny,38.7,91.16,215.82,11.47,324,1553.79,1617.46,44,380,146
2023-05-06,36,1185,Clothing,East,0,1,Rainy,34.6,118.18,276.55,5.61,314,1912.86,1751.81,28,355,134
2023-05-07,17,1192,Furniture,South,0,1,Cloudy,30.9,85.49,253.88,8.28,268,148.99,161.06,14,346,134
2023-05-08,22,1184,Furniture,North,0,0,Cloudy,39.3,86.32,258.35,10.93,507,981.02,922.05,18,184,26
2023-05-09,19,1166,Electronics,North,0,0,Sunny,22.5,113.5,292.07,3.33,876,824.14,823.38,47,466,74
2023-05-10,1,1077,Toys,North,1,1,Rainy,39.7,101.73,239.27,11.45,891,1033.21,986.27,7,189,73
2023-05-11,11,1188,Furniture,East,0,0,Cloudy,20.1,91.8,260.93,4.74,645,1719.49,1856.03,27,283,29
2023-05-12,7,1048,Grocery,West,1,0,Sunny,17.8,89.42,270.45,11.59,329,1185.8,1203.08,16,354,74
2023-05-13,24,1178,Grocery,North,0,1,Rainy,14.8,107.44,290.77,10.99,808,656.41,606.18,18,208,72
2023-05-14,9,1123,Grocery,West,1,1,Cloudy,26.5,98.83,244.5,8.98,243,1535.63,1591.02,38,467,194
2023-05-15,6,1135,Furniture,East,0,0,Sunny,34.9,116.12,204.26,7.83,188,689.83,692.64,7,368,56
2023-05-16,6,1131,Furniture,North,1,0,Cloudy,22.5,102.56,247.06,9.05,335,1460.4,1430.01,0,401,92
2023-05-17,14,1149,Electronics,North,1,1,Cloudy,11.9,119.76,292.15,3.62,976,970.54,929.21,11,413,191
2023-05-18,47,1166,Furniture,East,1,1,Rainy,21.3,107.31,259.42,7.85,689,1727.56,1595.79,34,221,100
2023-05-19,34,1033,Sports,South,0,0,Rainy,23.9,108.76,230.9,6.41,255,532.65,516.26,17,116,27
2023-05-20,8,1009,Beauty,West,0,0,Sunny,12.0,103.76,233.57,9.05,913,144.92,151.89,25,244,22
2023-05-21,15,1139,Grocery,North,0,1,Sunny,34.5,109.26,218.27,8.38,708,1645.85,1559.25,9,358,130
2023-05-22,18,1016,Toys,South,1,1,Sunny,39.2,117.66,260.56,10.07,346,1407.8,1381.97,19,212,88
2023-05-23,12,1194,Toys,West,0,0,Rainy,35.7,85.77,235.56,3.52,442,1937.18,1959.37,8,218,30
2023-05-24,42,1021,Furniture,East,0,0,Sunny,18.1,106.95,252.35,10.86,212,1619.07,1647.43,42,306,40
2023-05-25,14,1123,Grocery,East,1,0,Sunny,38.1,118.48,194.08,12.0,510,1833.16,1904.88,45,124,5
2023-05-26,21,1199,Clothing,West,1,1,Rainy,17.8,100.51,239.67,3.89,759,965.51,1031.11,13,209,94
2023-05-27,21,1106,Electronics,South,0,0,Rainy,26.6,103.36,266.4,5.66,220,693.24,676.58,15,275,13
2023-05-28,22,1066,Beauty,West,1,1,Sunny,32.0,94.09,196.8,7.92,208,1837.95,1853.44,41,50,2
2023-05-29,34,1009,Beauty,North,0,0,Rainy,14.1,105.23,188.16,4.36,243,1036.18,1009.9,39,346,33
2023-05-30,31,1169,Furniture,North,0,1,Sunny,10.5,108.89,244.29,5.58,534,1635.66,1692.59,11,74,14
2023-05-31,7,1135,Grocery,South,0,1,Rainy,18.0,95.88,224.77,6.65,598,524.26,544.94,19,370,144
2023-06-01,42,1195,Electronics,North,1,1,Rainy,26.6,82.24,181.13,4.54,531,1698.39,1747.61,21,309,129
2023-06-02,7,1136,Electronics,South,0,1,Rainy,11.4,82.97,291.07,11.09,597,1333.31,1247.81,20,28,18
2023-06-03,49,1183,Beauty,West,0,1,Sunny,26.9,102.67,281.93,9.09,573,696.87,732.5,8,424,164
2023-06-04,45,1186,Electronics,East,0,0,Rainy,17.0,83.04,252.62,8.52,629,823.57,868.63,1,344,46
2023-06-05,32,1059,Clothing,West,1,0,Cloudy,27.6,95.2,272.66,5.66,272,1440.56,1320.14,9,214,71
2023-06-06,46,1163,Grocery,West,1,1,Sunny,12.7,117.72,233.37,9.85,124,308.39,289.11,28,305,119
2023-06-07,2,1023,Clothing,North,1,1,Sunny,18.8,95.51,190.16,11.11,946,1985.82,1883.65,33,106,34
2023-06-08,44,1098,Grocery,South,1,1,Rainy,24.8,82.53,232.16,6.79,515,1576.2,1532.42,15,389,161
2023-06-09,13,1118,Electronics,South,1,0,Rainy,20.0,104.81,276.49,5.97,362,889.7,947.27,41,324,43
2023-06-10,9,1077,Clothing,South,1,1,Sunny,38.9,118.75,214.97,9.25,522,1937.14,2046.38,20,212,86
2023-06-11,24,1030,Toys,South,0,0,Cloudy,23.8,108.33,232.61,5.62,729,184.86,197.72,50,229,36
2023-06-12,44,1128,Grocery,East,0,1,Cloudy,14.6,96.93,225.24,7.04,632,984.51,964.98,32,492,200
2023-06-13,35,1010,Beauty,East,0,0,Sunny,29.7,94.2,257.64,3.4,680,1371.07,1343.54,48,189,6
2023-06-14,28,1028,Electronics,North,1,0,Cloudy,32.4,102.32,262.52,4.99,403,812.71,856.98,37,373,54
2023-06-15,2,1124,Electronics,East,1,0,Sunny,34.9,109.21,221.8,6.09,823,453.39,451.84,30,69,4
2023-06-16,29,1185,Sports,West,1,0,Rainy,11.3,108.43,182.71,6.09,131,1370.42,1278.42,47,144,2
2023-06-17,22,1144,Furniture,West,0,1,Cloudy,15.5,105.62,231.86,3.26,648,1772.04,1754.17,27,219,78
2023-06-18,1,1181,Grocery,South,1,0,Cloudy,13.1,114.88,202.44,5.93,488,272.21,281.5,31,290,57
2023-06-19,25,1157,Furniture,North,1,1,Rainy,28.5,112.55,264.72,5.68,649,1200.83,1242.16,20,80,28
2023-06-20,16,1079,Electronics,South,1,0,Cloudy,21.7,103.86,248.98,6.81,518,1289.23,1339.11,41,496,99
2023-06-21,32,1074,Grocery,South,1,1,Cloudy,11.6,94.36,181.15,4.23,854,798.69,808.53,41,273,110
2023-06-22,27,1176,Furniture,West,1,1,Sunny,12.5,81.23,271.33,5.63,301,488.44,467.8,49,254,83
2023-06-23,32,1141,Toys,North,0,1,Cloudy,34.7,94.67,278.71,3.37,756,910.66,859.4,27,72,13
2023-06-24,48,1168,Beauty,South,1,0,Rainy,17.9,114.49,190.44,10.79,140,1562.48,1480.28,47,321,42
2023-06-25,40,1162,Furniture,South,0,0,Sunny,34.2,102.8,243.87,8.37,192,681.12,708.92,18,313,23
2023-06-26,18,1132,Sports,North,0,1,Sunny,39.8,114.68,195.23,10.79,275,335.17,323.24,15,409,164
2023-06-27,10,1148,Sports,East,1,1,Rainy,12.3,111.78,272.27,6.63,787,592.54,644.25,23,252,98
2023-06-28,32,1084,Toys,North,0,1,Cloudy,29.9,94.33,187.6,7.81,243,1937.85,2063.75,31,157,49
2023-06-29,36,1148,Grocery,West,1,0,Sunny,13.0,111.36,235.15,4.12,898,358.07,354.96,27,123,23
2023-06-30,45,1034,Sports,East,0,1,Sunny,29.6,90.02,224.62,11.13,189,150.99,154.78,46,378,137
2023-07-01,6,1181,Electronics,North,0,1,Sunny,14.0,89.05,261.6,3.08,732,719.97,665.34,27,375,131
2023-07-02,9,1123,Electronics,South,1,0,Cloudy,34.2,84.13,224.11,5.69,411,1558.25,1637.15,8,348,72
2023-07-03,34,1145,Electronics,South,1,1,Cloudy,16.4,109.93,290.39,8.54,473,1726.93,1584.18,6,91,38
2023-07-04,49,1032,Toys,West,1,1,Rainy,33.7,89.91,257.35,5.23,635,1220.02,1246.27,49,373,172
2023-07-05,20,1053,Toys,South,1,1,Cloudy,11.6,115.92,294.56,7.45,135,520.11,534.47,4,290,132
2023-07-06,1,1093,Clothing,South,1,1,Rainy,26.4,86.91,236.52,11.89,94,82.54,75.4,16,130,57
2023-07-07,26,1130,Clothing,West,1,1,Sunny,29.2,101.51,198.32,3.75,100,1047.04,984.89,9,294,130
2023-07-08,21,1101,Toys,North,1,1,Cloudy,38.6,89.55,209.34,11.32,138,934.08,954.41,19,361,155
2023-07-09,8,1004,Sports,South,0,0,Rainy,38.6,100.92,273.96,9.49,190,775.15,813.87,17,395,37
2023-07-10,8,1198,Electronics,East,1,1,Cloudy,11.9,108.49,249.2,3.69,486,1046.02,953.02,36,105,31
2023-07-11,7,1147,Sports,North,0,0,Sunny,35.8,80.49,185.52,6.28,962,342.67,372.22,2,303,50
2023-07-12,46,1190,Sports,West,0,1,Sunny,22.5,108.81,212.55,3.7,401,282.83,292.63,3,111,45
2023-07-13,3,1103,Electronics,West,1,1,Rainy,12.6,98.27,224.27,5.62,823,642.62,658.39,29,208,96
2023-07-14,38,1127,Beauty,South,0,0,Sunny,38.0,80.96,244.99,8.72,730,1760.54,1919.34,0,408,50
2023-07-15,47,1079,Electronics,South,0,1,Rainy,38.8,118.9,197.08,5.52,64,1846.49,1993.21,33,231,66
2023-07-16,45,1096,Furniture,North,0,0,Cloudy,34.6,82.99,248.14,6.91,153,511.7,487.24,20,494,72
2023-07-17,48,1084,Clothing,West,1,0,Sunny,38.3,85.44,272.42,3.98,128,370.53,368.01,26,81,0
2023-07-18,35,1092,Beauty,South,1,1,Rainy,18.0,84.8,198.91,9.17,866,1424.17,1453.59,13,447,200
2023-07-19,46,1064,Clothing,West,0,1,Rainy,34.6,86.95,294.25,10.69,589,1508.75,1433.27,29,72,15
2023-07-20,9,1032,Electronics,North,0,0,Sunny,34.7,94.89,255.64,8.8,616,1192.93,1292.52,4,31,10
2023-07-21,42,1114,Beauty,South,0,1,Sunny,11.3,98.44,200.16,8.16,861,1462.64,1461.51,24,369,140
2023-07-22,28,1045,Clothing,South,0,1,Rainy,23.4,85.95,253.69,8.55,682,625.46,614.45,35,265,103
2023-07-23,9,1108,Grocery,South,0,1,Cloudy,20.8,101.78,238.16,11.21,534,677.13,646.04,1,183,75
2023-07-24,39,1057,Electronics,East,0,1,Cloudy,20.7,103.36,207.93,4.44,273,1330.89,1268.74,50,489,179
2023-07-25,15,1148,Beauty,West,1,0,Sunny,17.1,92.72,268.57,6.23,625,105.0,109.21,36,308,33
2023-07-26,10,1145,Grocery,West,1,0,Rainy,11.1,82.25,252.2,3.18,509,51.33,55.62,12,432,93
2023-07-27,21,1016,Electronics,South,0,0,Cloudy,35.8,118.42,224.83,11.48,425,1192.73,1153.74,20,89,18
2023-07-28,11,1188,Furniture,West,1,0,Cloudy,39.1,107.74,291.46,10.08,248,1347.79,1432.55,24,177,27
2023-07-29,12,1187,Electronics,West,0,0,Cloudy,19.5,112.35,253.37,8.76,126,1876.54,1741.67,47,59,0
2023-07-30,16,1089,Clothing,South,0,1,Rainy,10.3,88.39,263.18,6.15,825,260.67,234.67,24,244,87
2023-07-31,27,1127,Furniture,East,1,0,Rainy,33.7,103.12,270.99,5.03,482,193.73,207.13,18,30,0
2023-08-01,21,1067,Electronics,North,1,0,Rainy,14.8,83.0,293.02,11.8,366,1208.36,1235.82,30,380,90
2023-08-02,11,1156,Furniture,South,0,0,Rainy,16.2,87.6,263.66,9.5,767,1103.24,1138.68,19,141,20
2023-08-03,7,1013,Furniture,West,0,0,Rainy,10.1,83.51,278.87,8.63,511,439.37,397.69,10,346,47
2023-08-04,8,1079,Beauty,West,1,1,Cloudy,18.0,105.67,226.5,6.34,410,770.33,761.98,16,245,109
2023-08-05,30,1068,Grocery,East,0,0,Cloudy,30.0,83.43,221.25,7.87,794,1199.97,1212.83,24,439,32
2023-08-06,44,1122,Toys,South,1,1,Sunny,21.8,114.16,184.17,8.14,549,1610.88,1668.08,39,95,27
2023-08-07,8,1194,Furniture,South,0,0,Sunny,13.8,96.93,298.59,6.92,862,1273.09,1358.16,16,183,41
2023-08-08,5,1023,Furniture,West,1,1,Cloudy,23.7,114.94,274.39,8.61,555,1574.29,1452.29,9,95,28
2023-08-09,37,1151,Toys,North,0,0,Rainy,36.0,115.21,285.35,5.38,690,996.89,1018.61,2,108,14
2023-08-10,39,1175,Sports,West,0,1,Rainy,30.7,81.97,237.03,5.42,401,89.45,95.13,19,179,71
2023-08-11,18,1126,Beauty,North,0,0,Rainy,39.2,97.72,279.1,5.42,446,1229.71,1128.7,28,128,19
2023-08-12,32,1195,Toys,East,0,0,Sunny,19.3,100.27,196.28,10.66,920,1158.91,1083.29,12,448,58
2023-08-13,4,1064,Electronics,West,0,1,Cloudy,16.0,94.73,235.71,6.57,965,291.55,264.18,23,270,95
2023-08-14,31,1151,Toys,East,1,0,Rainy,32.5,107.55,214.21,6.48,186,1714.95,1810.93,13,458,84
