Date,Store_ID,Product_ID,Category,Region,Holiday,Promotion,Weather,Temperature,Fuel_Price,CPI,Unemployment,Inventory,Price,Competitor_Price,Discount,Customers,Sales,Year,Month,Day,Week,Quarter,Day_Name,Month_Name,Weekend,Season,Inventory_Per_Customer,Price_Difference,Discount_Amount,Final_Price,Sales_Per_Customer,Promotion_Impact
2023-01-22,45,1039,6,1,1,0,1,13.8,92.33,287.88,10.17,901,127.8,124.17,43,147,16,2023,1,22,3,1,3,4,1,3,6.087837837837838,3.6299999999999955,54.95399999999999,72.846,0.10810810810810811,0
2023-01-23,43,1027,1,3,0,0,2,39.3,112.43,285.77,3.22,774,1852.75,1957.39,26,430,48,2023,1,23,4,1,1,4,0,3,1.7958236658932714,-104.6400000000001,481.715,1371.035,0.11136890951276102,0
2023-01-24,16,1069,4,1,1,0,1,16.7,112.66,235.24,5.75,834,1749.08,1652.15,42,118,0,2023,1,24,4,1,5,4,0,3,7.008403361344538,96.92999999999984,734.6136,1014.4663999999999,0.0,0
2023-01-25,26,1085,1,1,1,1,0,25.3,107.18,281.24,5.98,48,274.92,300.78,11,317,146,2023,1,25,4,1,6,4,0,3,0.1509433962264151,-25.859999999999957,30.241200000000003,244.67880000000002,0.4591194968553459,11
2023-01-26,7,1153,3,0,1,1,0,39.5,84.63,287.94,4.71,65,1432.13,1289.4,34,371,154,2023,1,26,4,1,4,4,0,3,0.17473118279569894,142.73000000000002,486.92420000000004,945.2058000000001,0.41397849462365593,34
2023-01-27,47,1190,5,2,1,1,2,38.5,116.83,254.78,8.97,147,1453.52,1395.47,19,361,148,2023,1,27,4,1,0,4,0,3,0.40607734806629836,58.049999999999955,276.16880000000003,1177.3512,0.4088397790055249,19
2023-01-28,19,1142,4,2,1,1,0,32.4,86.96,248.29,6.65,873,50.79,48.63,27,422,187,2023,1,28,4,1,2,4,1,3,2.0638297872340425,2.1599999999999966,13.713299999999998,37.0767,0.44208037825059104,27
2023-01-29,38,1156,5,0,1,1,1,30.3,100.45,275.25,11.64,773,380.9,349.27,32,359,145,2023,1,29,4,1,3,4,1,3,2.147222222222222,31.629999999999995,121.88799999999999,259.012,0.4027777777777778,32
2023-01-30,49,1061,5,0,0,0,2,10.7,89.79,237.02,10.65,94,938.06,1010.5,36,119,0,2023,1,30,5,1,1,4,0,3,0.7833333333333333,-72.44000000000005,337.7016,600.3584,0.0,0
2023-01-31,46,1179,3,3,1,0,2,29.7,80.22,270.12,9.93,129,1567.92,1479.75,44,285,31,2023,1,31,5,1,5,4,0,3,0.45104895104895104,88.17000000000007,689.8848000000002,878.0351999999999,0.10839160839160839,0
2023-02-01,8,1117,4,3,1,1,0,34.5,115.68,231.21,11.16,476,1799.56,1887.25,30,250,106,2023,2,1,5,1,6,3,0,3,1.8964143426294822,-87.69000000000005,539.8679999999999,1259.692,0.42231075697211157,30
2023-02-02,17,1193,4,0,1,0,1,23.2,108.54,208.14,6.02,934,1103.3,1023.5,14,216,33,2023,2,2,5,1,4,3,0,3,4.304147465437788,79.79999999999995,154.462,948.838,0.15207373271889402,0
2023-02-03,5,1107,3,0,1,1,2,16.2,96.81,288.58,8.26,732,88.09,94.8,36,214,70,2023,2,3,5,1,0,3,0,3,3.4046511627906977,-6.709999999999994,31.712400000000002,56.3776,0.32558139534883723,36
2023-02-04,31,1002,1,0,1,1,0,32.4,101.85,252.39,4.98,244,582.22,580.55,24,192,70,2023,2,4,5,1,2,3,1,3,1.2642487046632125,1.6700000000000728,139.7328,442.48720000000003,0.3626943005181347,24
2023-02-05,47,1043,0,3,0,0,1,27.8,106.52,190.07,6.86,907,950.31,864.84,24,187,5,2023,2,5,5,1,3,3,1,3,4.824468085106383,85.46999999999991,228.0744,722.2356,0.026595744680851064,0
2023-02-06,14,1117,1,0,1,1,1,17.6,83.28,182.33,7.85,994,732.42,754.41,49,353,146,2023,2,6,6,1,1,3,0,3,2.8079096045197742,-21.99000000000001,358.88579999999996,373.5342,0.4124293785310734,49
2023-02-07,16,1052,0,1,0,0,2,24.2,84.58,293.73,7.19,282,1545.45,1442.77,38,402,49,2023,2,7,6,1,5,3,0,3,0.6997518610421837,102.68000000000006,587.271,958.1790000000001,0.12158808933002481,0
2023-02-08,46,1030,0,2,1,0,0,10.8,92.48,261.28,11.62,426,1885.87,1772.09,37,373,67,2023,2,8,6,1,6,3,0,3,1.13903743315508,113.77999999999997,697.7719000000001,1188.0980999999997,0.17914438502673796,0
2023-02-09,45,1198,1,1,0,1,0,22.9,94.82,240.72,6.07,889,869.11,867.41,27,205,67,2023,2,9,6,1,4,3,0,3,4.315533980582524,1.7000000000000455,234.65970000000002,634.4503,0.32524271844660196,27
2023-02-10,41,1118,5,2,1,0,0,25.7,106.02,253.91,11.28,813,992.82,980.03,46,323,48,2023,2,10,6,1,0,3,0,3,2.509259259259259,12.790000000000077,456.6972,536.1228000000001,0.14814814814814814,0
2023-02-11,6,1072,3,2,1,1,1,10.9,114.04,201.82,4.91,836,553.79,529.39,38,379,178,2023,2,11,6,1,2,3,1,3,2.2,24.399999999999977,210.44019999999998,343.34979999999996,0.46842105263157896,38
2023-02-12,18,1143,2,2,0,0,0,22.2,102.21,208.84,7.28,748,1007.1,1066.1,5,170,26,2023,2,12,6,1,3,3,1,3,4.374269005847953,-58.999999999999886,50.355,956.745,0.15204678362573099,0
2023-02-13,20,1170,6,0,1,1,1,39.9,102.02,222.22,7.08,333,540.24,499.25,12,181,92,2023,2,13,7,1,1,3,0,3,1.8296703296703296,40.99000000000001,64.8288,475.4112,0.5054945054945055,12
2023-02-14,8,1191,6,2,0,0,0,24.5,108.98,297.19,7.72,309,1962.0,2092.52,18,136,9,2023,2,14,7,1,5,3,0,3,2.2554744525547443,-130.51999999999998,353.16,1608.84,0.06569343065693431,0
2023-02-15,46,1137,4,0,0,0,0,18.8,117.76,256.54,9.78,125,1751.8,1777.75,30,265,37,2023,2,15,7,1,6,3,0,3,0.4699248120300752,-25.950000000000045,525.54,1226.26,0.13909774436090225,0
2023-02-16,29,1088,4,1,1,1,2,34.7,96.03,188.89,8.67,74,345.87,367.39,19,63,27,2023,2,16,7,1,4,3,0,3,1.15625,-21.519999999999982,65.7153,280.1547,0.421875,19
2023-02-17,49,1107,6,2,1,1,1,18.9,103.54,231.46,8.12,81,1238.78,1298.26,48,126,42,2023,2,17,7,1,0,3,0,3,0.6377952755905512,-59.48000000000002,594.6144,644.1655999999999,0.33070866141732286,48
2023-02-18,41,1055,1,1,0,0,2,26.6,86.26,229.02,9.2,501,617.96,584.77,45,164,7,2023,2,18,7,1,2,3,1,3,3.036363636363636,33.190000000000055,278.082,339.87800000000004,0.04242424242424243,0
2023-02-19,44,1060,1,2,1,0,0,16.7,85.96,211.88,4.28,81,373.55,359.18,47,442,63,2023,2,19,7,1,3,3,1,3,0.18284424379232506,14.370000000000005,175.56850000000003,197.98149999999998,0.14221218961625282,0
2023-02-20,37,1074,3,1,1,1,0,22.1,90.89,244.8,6.94,632,127.73,125.99,20,329,142,2023,2,20,8,1,1,3,0,3,1.915151515151515,1.740000000000009,25.546,102.184,0.4303030303030303,20
2023-02-21,44,1148,6,1,1,0,2,24.1,106.06,289.93,4.63,619,899.98,956.54,5,260,54,2023,2,21,8,1,5,3,0,3,2.371647509578544,-56.559999999999945,44.998999999999995,854.981,0.20689655172413793,0
2023-02-22,23,1105,1,0,0,0,1,22.3,99.82,259.51,6.6,798,1122.69,1112.55,20,149,4,2023,2,22,8,1,6,3,0,3,5.32,10.1400000000001,224.53800000000004,898.152,0.02666666666666667,0
2023-02-24,19,1113,5,3,0,0,0,28.3,89.57,199.01,7.96,585,845.58,799.02,7,256,49,2023,2,24,8,1,0,3,0,3,2.2762645914396886,46.56000000000006,59.1906,786.3894,0.19066147859922178,0
2023-02-25,10,1128,5,0,1,1,1,39.4,89.75,246.15,6.45,963,1218.79,1278.83,8,462,200,2023,2,25,8,1,2,3,1,3,2.079913606911447,-60.039999999999964,97.50319999999999,1121.2867999999999,0.4319654427645788,8
2023-02-26,5,1071,0,3,1,1,2,18.5,91.94,250.43,11.99,521,1737.26,1718.69,30,196,70,2023,2,26,8,1,3,3,1,3,2.6446700507614214,18.569999999999936,521.178,1216.0819999999999,0.3553299492385787,30
2023-02-27,25,1117,1,2,0,1,2,35.7,96.43,218.18,7.26,955,1632.25,1595.06,42,425,172,2023,2,27,9,1,1,3,0,3,2.2417840375586855,37.190000000000055,685.545,946.705,0.40375586854460094,42
2023-03-02,16,1162,5,0,0,0,1,39.4,110.41,264.47,3.9,190,1403.3,1516.52,2,186,29,2023,3,2,9,1,4,7,0,2,1.0160427807486632,-113.22000000000003,28.066,1375.234,0.15508021390374332,0
2023-03-03,24,1111,4,2,1,0,2,15.3,104.38,225.91,9.15,529,1830.02,1699.4,29,346,52,2023,3,3,9,1,0,7,0,2,1.5244956772334295,130.6199999999999,530.7058000000001,1299.3141999999998,0.14985590778097982,0
2023-03-04,17,1118,1,1,1,1,0,26.4,82.95,293.43,11.89,326,1295.93,1276.31,16,253,112,2023,3,4,9,1,2,7,1,2,1.2834645669291338,19.62000000000012,207.3488,1088.5812,0.4409448818897638,16
2023-03-05,25,1124,2,2,1,1,0,18.9,107.97,182.63,10.47,425,585.24,592.96,43,418,169,2023,3,5,9,1,3,7,1,2,1.0143198090692125,-7.720000000000027,251.6532,333.58680000000004,0.4033412887828162,43
2023-03-06,48,1013,6,3,1,0,0,34.1,88.76,202.82,5.26,793,1455.81,1502.16,8,341,77,2023,3,6,10,1,1,7,0,2,2.318713450292398,-46.350000000000136,116.4648,1339.3452,0.22514619883040934,0
2023-03-07,3,1080,0,3,0,1,0,13.9,116.39,219.21,6.74,225,307.71,310.14,23,291,117,2023,3,7,10,1,5,7,0,2,0.7705479452054794,-2.430000000000007,70.7733,236.93669999999997,0.4006849315068493,23
2023-03-08,33,1070,0,2,1,1,1,32.4,93.55,193.82,11.67,164,1520.6,1437.15,43,390,157,2023,3,8,10,1,6,7,0,2,0.4194373401534527,83.44999999999982,653.858,866.742,0.40153452685422,43
2023-03-09,36,1094,2,3,0,1,0,13.7,94.74,269.88,5.36,410,1653.71,1799.33,6,365,135,2023,3,9,10,1,4,7,0,2,1.1202185792349726,-145.6199999999999,99.2226,1554.4874,0.36885245901639346,6
2023-03-10,15,1121,2,0,0,0,0,34.7,116.38,216.26,6.67,163,138.43,125.62,31,79,19,2023,3,10,10,1,0,7,0,2,2.0375,12.810000000000002,42.9133,95.51670000000001,0.2375,0
2023-03-11,9,1100,3,0,1,0,1,29.6,113.35,253.88,11.45,306,113.8,110.85,28,247,52,2023,3,11,10,1,2,7,1,2,1.2338709677419355,2.950000000000003,31.864,81.93599999999999,0.20967741935483872,0
2023-03-12,16,1093,2,0,1,0,1,18.3,118.73,293.88,10.42,113,1342.4,1380.44,38,30,3,2023,3,12,10,1,3,7,1,2,3.6451612903225805,-38.039999999999964,510.112,832.288,0.0967741935483871,0
2023-03-14,12,1029,5,1,0,0,1,33.7,89.52,218.85,4.57,73,297.18,292.48,7,401,68,2023,3,14,11,1,5,7,0,2,0.18159203980099503,4.699999999999989,20.8026,276.3774,0.1691542288557214,0
2023-03-15,24,1132,6,1,1,0,0,11.3,111.33,284.04,7.69,489,1304.51,1182.19,30,453,85,2023,3,15,11,1,6,7,0,2,1.077092511013216,122.31999999999994,391.353,913.1569999999999,0.18722466960352424,0
2023-03-16,26,1110,5,1,1,1,2,37.0,92.88,197.8,4.14,659,1284.5,1296.92,20,215,103,2023,3,16,11,1,4,7,0,2,3.050925925925926,-12.420000000000073,256.9,1027.6,0.47685185185185186,20
2023-03-17,30,1130,6,3,0,0,0,29.5,110.76,266.5,4.94,482,1781.78,1751.07,29,224,24,2023,3,17,11,1,0,7,0,2,2.1422222222222222,30.710000000000036,516.7162000000001,1265.0638,0.10666666666666667,0
2023-03-18,27,1187,2,0,1,1,0,17.6,118.14,262.42,7.27,113,1671.96,1535.94,6,401,177,2023,3,18,11,1,2,7,1,2,0.2810945273631841,136.01999999999998,100.3176,1571.6424,0.44029850746268656,6
2023-03-19,36,1016,6,0,0,1,1,36.2,117.65,230.75,11.24,72,1938.38,1977.31,22,73,4,2023,3,19,11,1,3,7,1,2,0.972972972972973,-38.929999999999836,426.4436,1511.9364,0.05405405405405406,22
2023-03-20,37,1130,4,2,1,0,2,20.5,102.25,193.79,5.51,251,1624.08,1736.19,49,439,62,2023,3,20,12,1,1,7,0,2,0.5704545454545454,-112.11000000000013,795.7991999999999,828.2808,0.1409090909090909,0
2023-03-23,44,1021,1,3,1,1,0,23.3,90.93,270.59,4.02,460,266.24,275.73,37,269,121,2023,3,23,12,1,4,7,0,2,1.7037037037037037,-9.490000000000009,98.50880000000001,167.7312,0.44814814814814813,37
2023-03-24,34,1171,1,1,0,1,0,11.6,88.18,293.44,9.91,802,548.26,529.41,0,274,109,2023,3,24,12,1,0,7,0,2,2.9163636363636365,18.850000000000023,0.0,548.26,0.39636363636363636,0
2023-03-25,25,1137,5,2,1,0,1,35.9,81.69,182.25,11.29,902,660.47,651.13,25,383,62,2023,3,25,12,1,2,7,1,2,2.3489583333333335,9.340000000000032,165.1175,495.3525,0.16145833333333334,0
2023-03-26,41,1107,1,1,1,0,1,15.2,117.9,235.21,9.21,390,221.85,237.13,15,243,33,2023,3,26,12,1,3,7,1,2,1.598360655737705,-15.280000000000001,33.2775,188.5725,0.13524590163934427,0
2023-03-27,26,1080,5,0,0,1,2,12.3,105.33,243.67,4.75,814,731.28,764.54,41,437,156,2023,3,27,13,1,1,7,0,2,1.8584474885844748,-33.25999999999999,299.8248,431.4552,0.3561643835616438,41
2023-03-28,10,1061,2,2,1,0,2,28.1,110.41,258.66,4.59,811,1274.5,1265.31,36,409,57,2023,3,28,13,1,5,7,0,2,1.9780487804878049,9.190000000000055,458.82,815.6800000000001,0.13902439024390245,0
2023-03-29,37,1165,5,0,1,0,1,12.0,97.69,216.34,5.47,77,736.29,673.59,29,251,34,2023,3,29,13,1,6,7,0,2,0.3055555555555556,62.69999999999993,213.5241,522.7659,0.1349206349206349,0
2023-03-30,3,1015,1,0,0,0,0,27.8,95.38,249.64,11.59,776,1796.96,1778.89,36,353,47,2023,3,30,13,1,4,7,0,2,2.1920903954802258,18.069999999999936,646.9055999999999,1150.0544,0.1327683615819209,0
2023-03-31,33,1039,2,3,0,1,0,12.5,105.85,184.7,9.37,469,1071.93,1095.47,23,210,89,2023,3,31,13,1,0,7,0,2,2.2227488151658767,-23.539999999999964,246.54390000000004,825.3861,0.4218009478672986,23
2023-04-01,19,1100,3,0,0,1,2,19.9,102.32,226.39,5.27,892,1330.3,1438.41,9,190,86,2023,4,1,13,2,2,0,1,2,4.670157068062827,-108.11000000000013,119.72699999999999,1210.5729999999999,0.450261780104712,9
2023-04-02,23,1080,5,3,0,0,1,26.8,105.74,219.42,4.15,739,1666.47,1746.05,43,487,67,2023,4,2,13,2,3,0,1,2,1.514344262295082,-79.57999999999993,716.5821000000001,949.8879,0.13729508196721313,0
2023-04-03,34,1024,5,3,1,0,1,19.3,118.05,221.01,9.9,216,491.76,456.11,4,171,35,2023,4,3,14,2,1,0,0,2,1.255813953488372,35.64999999999998,19.6704,472.0896,0.20348837209302326,0
2023-04-04,50,1139,0,1,1,0,0,21.3,86.49,279.76,9.94,848,1810.18,1890.26,2,230,41,2023,4,4,14,2,5,0,0,2,3.670995670995671,-80.07999999999993,36.2036,1773.9764,0.1774891774891775,0
2023-04-05,24,1174,5,2,1,1,0,33.5,89.36,208.7,11.69,823,964.58,1029.23,23,367,185,2023,4,5,14,2,6,0,0,2,2.2364130434782608,-64.64999999999998,221.8534,742.7266000000001,0.5027173913043478,23
2023-04-06,30,1197,1,3,1,0,2,34.0,85.54,210.0,8.77,915,773.86,841.08,45,453,67,2023,4,6,14,2,4,0,0,2,2.015418502202643,-67.22000000000003,348.23699999999997,425.62300000000005,0.14757709251101322,0
2023-04-07,34,1032,1,1,0,1,1,37.2,85.89,232.5,11.52,247,1642.57,1768.93,1,232,103,2023,4,7,14,2,0,0,0,2,1.0600858369098713,-126.36000000000013,16.4257,1626.1443,0.44206008583690987,1
2023-04-08,16,1099,2,0,0,0,1,37.9,113.57,258.0,10.12,160,124.69,135.1,30,376,51,2023,4,8,14,2,2,0,1,2,0.4244031830238727,-10.409999999999997,37.407,87.283,0.13527851458885942,0
2023-04-09,9,1195,5,3,1,0,2,10.6,88.63,197.94,11.46,643,1079.15,995.23,18,141,21,2023,4,9,14,2,3,0,1,2,4.528169014084507,83.92000000000007,194.247,884.903,0.14788732394366197,0
2023-04-10,27,1164,0,3,0,0,1,27.9,80.66,241.85,5.18,167,617.98,556.38,22,143,17,2023,4,10,15,2,1,0,0,2,1.1597222222222223,61.60000000000002,135.9556,482.0244,0.11805555555555555,0
2023-04-11,37,1107,4,1,1,0,0,26.3,111.46,240.91,3.18,914,966.76,992.99,23,149,22,2023,4,11,15,2,5,0,0,2,6.093333333333334,-26.230000000000018,222.35479999999998,744.4052,0.14666666666666667,0
2023-04-12,5,1089,4,1,1,0,2,20.6,93.54,257.14,10.47,721,956.01,993.37,40,113,1,2023,4,12,15,2,6,0,0,2,6.324561403508772,-37.360000000000014,382.404,573.606,0.008771929824561403,0
2023-04-13,9,1017,5,3,0,1,2,11.3,87.98,185.03,11.4,547,826.54,878.68,30,149,64,2023,4,13,15,2,4,0,0,2,3.6466666666666665,-52.139999999999986,247.96199999999996,578.578,0.4266666666666667,30
2023-04-14,19,1092,0,1,1,1,2,34.0,97.48,228.0,6.96,999,803.96,880.13,31,374,162,2023,4,14,15,2,0,0,0,2,2.664,-76.16999999999996,249.22760000000002,554.7324,0.432,31
2023-04-15,32,1095,0,0,0,1,2,22.9,119.8,201.65,5.64,125,206.13,212.76,19,248,85,2023,4,15,15,2,2,0,1,2,0.5020080321285141,-6.6299999999999955,39.164699999999996,166.9653,0.3413654618473896,19
2023-04-16,45,1114,1,3,0,1,0,39.9,90.98,297.6,11.53,96,1358.81,1333.32,32,430,156,2023,4,16,15,2,3,0,1,2,0.22273781902552203,25.49000000000001,434.81919999999997,923.9908,0.3619489559164733,32
2023-04-17,48,1174,4,1,0,1,2,13.8,89.44,257.42,6.26,992,1156.13,1180.43,43,250,96,2023,4,17,16,2,1,0,0,2,3.952191235059761,-24.299999999999955,497.13590000000005,658.9941000000001,0.38247011952191234,43
2023-04-18,49,1020,6,2,1,1,1,29.5,89.98,193.61,9.62,531,1059.6,1147.24,7,154,64,2023,4,18,16,2,5,0,0,2,3.425806451612903,-87.6400000000001,74.17199999999998,985.4279999999999,0.4129032258064516,7
2023-04-19,50,1067,5,3,0,1,0,37.5,99.65,194.72,10.68,482,386.68,403.18,5,434,164,2023,4,19,16,2,6,0,0,2,1.1080459770114943,-16.5,19.334,367.346,0.37701149425287356,5
2023-04-20,21,1171,1,1,1,1,2,31.4,117.09,256.52,10.14,540,487.27,534.55,50,91,8,2023,4,20,16,2,4,0,0,2,5.869565217391305,-47.27999999999997,243.635,243.635,0.08695652173913043,50
2023-04-21,16,1127,2,0,1,1,0,13.9,115.37,187.89,6.58,754,1451.8,1459.26,49,229,90,2023,4,21,16,2,0,0,0,2,3.2782608695652176,-7.460000000000036,711.382,740.418,0.391304347826087,49
2023-04-22,21,1165,2,3,1,1,2,36.3,111.21,256.78,4.64,152,893.61,967.01,3,445,195,2023,4,22,16,2,2,0,1,2,0.34080717488789236,-73.39999999999998,26.8083,866.8017,0.437219730941704,3
2023-04-23,8,1133,4,0,0,0,1,38.0,89.02,293.7,7.67,310,1699.57,1614.8,40,302,31,2023,4,23,16,2,3,0,1,2,1.023102310231023,84.76999999999998,679.828,1019.742,0.10231023102310231,0
2023-04-24,40,1137,2,2,0,0,0,28.7,116.08,220.51,11.32,62,1659.21,1502.7,2,348,65,2023,4,24,17,2,1,0,0,2,0.17765042979942694,156.51,33.184200000000004,1626.0258000000001,0.18624641833810887,0
2023-04-25,50,1148,1,2,1,0,1,36.7,101.82,257.03,5.72,270,1619.14,1679.05,19,252,47,2023,4,25,17,2,5,0,0,2,1.0671936758893281,-59.909999999999854,307.63660000000004,1311.5034,0.1857707509881423,0
2023-04-26,29,1107,3,3,0,1,0,14.3,114.46,218.32,11.89,373,1951.98,1807.83,23,283,107,2023,4,26,17,2,6,0,0,2,1.3133802816901408,144.1500000000001,448.9554,1503.0246,0.3767605633802817,23
2023-04-27,36,1028,1,2,1,0,1,23.5,85.64,186.07,11.51,904,1249.99,1187.06,10,436,78,2023,4,27,17,2,4,0,0,2,2.068649885583524,62.930000000000064,124.999,1124.991,0.17848970251716248,0
2023-04-29,4,1073,3,3,1,0,2,22.9,115.3,267.3,9.87,394,138.22,125.81,35,119,7,2023,4,29,17,2,2,0,1,2,3.283333333333333,12.409999999999997,48.376999999999995,89.843,0.058333333333333334,0
2023-04-30,25,1130,3,0,0,0,2,21.8,111.8,220.69,11.45,793,331.32,338.11,25,276,40,2023,4,30,17,2,3,0,1,2,2.862815884476534,-6.7900000000000205,82.83,248.49,0.1444043321299639,0
2023-05-01,3,1012,2,2,1,1,0,23.7,104.25,241.86,5.95,647,671.13,656.76,39,398,174,2023,5,1,18,2,1,8,0,2,1.6215538847117794,14.370000000000005,261.7407,409.3893,0.43609022556390975,39
2023-05-04,27,1039,3,2,1,1,0,31.8,108.23,242.24,8.05,698,982.82,958.61,11,255,121,2023,5,4,18,2,4,8,0,2,2.7265625,24.210000000000036,108.1102,874.7098000000001,0.47265625,11
2023-05-05,35,1088,6,0,1,1,2,38.7,91.16,215.82,11.47,324,1553.79,1617.46,44,380,146,2023,5,5,18,2,0,8,0,2,0.8503937007874016,-63.67000000000007,683.6676,870.1224,0.38320209973753283,44
2023-05-07,17,1192,3,2,0,1,0,30.9,85.49,253.88,8.28,268,148.99,161.06,14,346,134,2023,5,7,18,2,3,8,1,2,0.7723342939481268,-12.069999999999993,20.858600000000003,128.1314,0.3861671469740634,14
2023-05-08,22,1184,3,1,0,0,0,39.3,86.32,258.35,10.93,507,981.02,922.05,18,184,26,2023,5,8,19,2,1,8,0,2,2.7405405405405405,58.97000000000003,176.58360000000002,804.4363999999999,0.14054054054054055,0
2023-05-09,19,1166,2,1,0,0,2,22.5,113.5,292.07,3.33,876,824.14,823.38,47,466,74,2023,5,9,19,2,5,8,0,2,1.8758029978586723,0.7599999999999909,387.3458,436.7942,0.15845824411134904,0
2023-05-10,1,1077,6,1,1,1,1,39.7,101.73,239.27,11.45,891,1033.21,986.27,7,189,73,2023,5,10,19,2,6,8,0,2,4.689473684210526,46.940000000000055,72.3247,960.8853,0.38421052631578945,7
2023-05-11,11,1188,3,0,0,0,0,20.1,91.8,260.93,4.74,645,1719.49,1856.03,27,283,29,2023,5,11,19,2,4,8,0,2,2.2711267605633805,-136.53999999999996,464.26230000000004,1255.2277,0.10211267605633803,0
2023-05-12,7,1048,4,3,1,0,2,17.8,89.42,270.45,11.59,329,1185.8,1203.08,16,354,74,2023,5,12,19,2,0,8,0,2,0.9267605633802817,-17.279999999999973,189.72799999999998,996.072,0.2084507042253521,0
2023-05-13,24,1178,4,1,0,1,1,14.8,107.44,290.77,10.99,808,656.41,606.18,18,208,72,2023,5,13,19,2,2,8,1,2,3.8660287081339715,50.23000000000002,118.15379999999999,538.2562,0.3444976076555024,18
2023-05-14,9,1123,4,3,1,1,0,26.5,98.83,244.5,8.98,243,1535.63,1591.02,38,467,194,2023,5,14,19,2,3,8,1,2,0.5192307692307693,-55.38999999999987,583.5394,952.0906000000001,0.41452991452991456,38
2023-05-15,6,1135,3,0,0,0,2,34.9,116.12,204.26,7.83,188,689.83,692.64,7,368,56,2023,5,15,20,2,1,8,0,2,0.5094850948509485,-2.8099999999999454,48.28810000000001,641.5419,0.15176151761517614,0
